initial size,highdegree,greedy,Highdegree_greedy
1,118.7,129.65,99
2,121.1,185.1,146
3,112.3,207.45,155
4,117.45,219.5,158
5,119.95,237.1,159
6,119.5,235.2,170
7,125.35,235.9,203
8,115.6,246.9,228
9,111.7,253.4,230
10,136.8,265.9,237
