initial size,highdegree,greedy,Highdegree_greedy
1,36.65,48.65,3
2,49.95,66.5,46
3,50.6,73.85,54
4,51.3,77.25,58
5,57.15,87.2,59
6,54.5,89.55,60
7,55.35,94.7,61
8,56.7,97.4,79
9,56.8,102.05,82
10,60.95,101.7,85
