initial size,highdegree,greedy,Highdegree_greedy
1,3.05,3.7,4
2,4.7,5.7,5
3,11.5,8.4,12
4,11.05,12.65,15
5,13.9,15.1,17
6,17,17,18
7,19.75,17.8,23
8,23.25,20.05,25
9,21.9,21.35,27
10,24.95,21.65,32
