
1,6.9
2,9.7
3,13.85
4,18.25
5,19.3
6,27.65
7,27.5
8,31.4
9,34.8
10,37.4
1,6.35
2,11.65
3,16.35
4,22.4
5,25.55
6,26.95
7,27.65
8,31.45
9,33.8
10,33.85
1,13.0
2,15.0
3,21.0
4,23.0
5,32.0
6,33.0
7,38.0
8,40.0
9,42.0
10,48.0
1,13.0
2,15.0
3,21.0
4,23.0
5,32.0
6,33.0
7,38.0
8,40.0
9,42.0
10,48.0
